event_id,deployment_id,event_start,event_end,category,classification_label,taxon_class,taxon_order,taxon_family,taxon_genus,taxon_species,taxon_variant,scientific_name,common_name,count,sex,life_stage,behavior,event_notes,is_confirmed
4f8d9d04-1e88-45bb-9e1b-3e8a74faaf91,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T08:02:17-07:00,2026-08-13T08:02:28-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
31af1ca5-c2db-4dcb-b530-4d5c61578b12,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T08:05:30-07:00,2026-08-13T08:05:41-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
3f72c1ad-bc3e-4b3f-a994-dfd0fba8c410,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T08:08:02-07:00,2026-08-13T08:08:13-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
d4e6dea7-96a9-462a-96ab-86b8f53d8759,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T08:16:06-07:00,2026-08-13T08:18:21-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
3d47f379-cb07-47dd-9b6e-087163050191,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T08:22:59-07:00,2026-08-13T08:23:10-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
d3abbbfa-b3d6-4440-9704-9f913b779657,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T08:51:45-07:00,2026-08-13T08:51:56-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
b5e193e8-18f1-49e3-a4fd-e18016d77d09,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T09:04:08-07:00,2026-08-13T09:04:19-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
e1134bd0-60e2-472d-aeb4-bb0bad372306,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T09:17:14-07:00,2026-08-13T09:17:25-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
929264e3-1311-463f-9113-1c71a0f00e8e,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T09:22:51-07:00,2026-08-13T09:23:39-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
aed0e8ad-19fb-4e7e-b97b-0f567459e3fe,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T09:53:22-07:00,2026-08-13T09:53:33-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
94b44d61-31c3-4b63-840b-0a84c481b4cb,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-13T10:42:59-07:00,2026-08-13T10:43:09-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
f97ec54b-fa93-423b-b0c8-5dfb45426229,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-13T11:57:39-07:00,2026-08-13T11:57:49-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
fa06831c-6594-4755-8d11-e4f1b592f04b,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T13:32:11-07:00,2026-08-13T13:32:22-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
74c4ea7b-caa9-4eac-83e4-9a9e3b9af90c,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-13T14:16:09-07:00,2026-08-13T14:16:20-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
32fddc0a-c444-4c94-a4f7-10b66b1c987e,188f1a8d-9ebb-4f84-a33c-06a92c469785,2026-08-13T15:13:04-07:00,2026-08-13T15:13:14-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
3ba907e3-808e-4ffe-83c1-69f8d1131971,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T15:16:56-07:00,2026-08-13T15:17:41-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
f82a07d1-7687-47a0-b58c-a5cb8815a990,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-13T16:39:48-07:00,2026-08-13T16:39:58-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
79de1b36-e4ab-47ae-a064-681db8e56304,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-13T17:25:23-07:00,2026-08-13T17:25:33-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
1a3237a4-4686-4eef-bae0-4199d4dabc63,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T18:12:57-07:00,2026-08-13T18:13:34-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
baf5b936-a578-4e61-9755-f944c770ceb3,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T18:48:05-07:00,2026-08-13T18:48:16-07:00,animal,Ermine,,,,,,,Ermine,Ermine,1,,,,,FALSE
e16d35be-3db9-4757-9828-34ff52b6545f,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-13T22:13:34-07:00,2026-08-13T22:13:45-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
cbf653d7-b7f2-4bbc-b79e-eb24b433cc1a,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-13T22:37:04-07:00,2026-08-13T22:37:15-07:00,animal,animal,,,,,,,Animal,Animal,2,,,,,FALSE
f3a0b36a-7b6a-49fd-8c3b-1392641101e8,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T08:05:23-07:00,2026-08-14T08:05:34-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
5577ade0-e2a1-4a4b-8bdc-d66606129793,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T08:42:31-07:00,2026-08-14T08:42:42-07:00,animal,animal,,,,,,,Animal,Animal,2,,,,,FALSE
817fc5d2-0cfd-4b84-9da6-c5cd129d522f,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T08:54:54-07:00,2026-08-14T08:55:05-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
871c620b-a4f6-4383-add3-cc9b9fb3068a,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T09:00:00-07:00,2026-08-14T09:00:33-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
13589b4b-1563-48fa-b888-416e535a3832,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T09:10:56-07:00,2026-08-14T09:11:07-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
0203e2f0-e505-47ab-a237-45da102ec2a7,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T09:14:59-07:00,2026-08-14T09:16:04-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
443297b6-746e-4286-94c7-356e8e75358e,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T10:06:41-07:00,2026-08-14T10:06:52-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
9f4db406-f65d-4b55-85db-94b6d61fa740,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T10:24:12-07:00,2026-08-14T10:24:23-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
3d796292-d8ca-4448-9785-2e59ef0f1452,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T11:00:00-07:00,2026-08-14T11:01:50-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
f1867880-4eab-42a6-bf4f-dacee11feef1,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T11:33:37-07:00,2026-08-14T11:33:48-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
dd2f9eab-26b9-46ca-85be-0eb736dfedbe,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-14T12:03:20-07:00,2026-08-14T12:03:30-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
40c57673-9f12-42b5-a2d7-fdfdb9e11624,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T12:22:44-07:00,2026-08-14T12:22:55-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
aeef2d05-255c-4b6f-a62c-f737018b8bff,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T15:03:42-07:00,2026-08-14T15:03:53-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
06b82c7d-6300-48a5-a5a7-98dd4f6f422c,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-14T17:27:57-07:00,2026-08-14T17:28:08-07:00,animal,animal,,,,,,,Animal,Animal,2,,,,,FALSE
5f7e8c66-972f-47ce-849f-9383f69176be,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-14T18:38:32-07:00,2026-08-14T18:39:09-07:00,animal,animal,,,,,,,Animal,Animal,2,,,,,FALSE
132bb4ea-561c-44a4-acc3-6b3c2417da49,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-15T00:11:46-07:00,2026-08-15T00:12:23-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
399f6074-0860-4c28-a772-9750195d1671,188f1a8d-9ebb-4f84-a33c-06a92c469785,2026-08-15T05:21:28-07:00,2026-08-15T05:21:38-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
2ce9ac8e-68da-4e04-a0c8-13abb8ec5964,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-15T05:49:49-07:00,2026-08-15T05:49:59-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
c793b66f-8534-4820-929b-57fae901f446,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-15T06:40:05-07:00,2026-08-15T06:40:45-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
f4e57816-f911-4559-b66c-2ffcda6a6fe9,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-15T06:53:19-07:00,2026-08-15T06:53:30-07:00,animal,Bird,,,,,,,Bird,Bird,1,,,,,FALSE
ac732287-3fd4-4b11-87f9-a22137280ad9,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-15T08:06:45-07:00,2026-08-15T08:06:56-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
1f84f9ea-32d1-4f3f-8ac6-29beab633f3b,188f1a8d-9ebb-4f84-a33c-06a92c469785,2026-08-15T09:00:00-07:00,2026-08-15T09:01:58-07:00,animal,Bird,,,,,,,Bird,Bird,1,,,,,FALSE
7950e0c9-4f5a-4cf7-859d-281a0ce5b245,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-15T09:00:00-07:00,2026-08-15T09:01:26-07:00,animal,Bird,,,,,,,Bird,Bird,1,,,,,FALSE
8261c473-b6b8-4d99-aecc-b5d31744d5d1,188f1a8d-9ebb-4f84-a33c-06a92c469785,2026-08-15T09:26:03-07:00,2026-08-15T09:26:13-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
26d5cf6d-3902-4f78-a5ca-61a4bef007dc,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-15T11:39:04-07:00,2026-08-15T11:39:42-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
1c4413dd-1f99-494c-b680-6044c6f44be4,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-15T13:04:02-07:00,2026-08-15T13:05:03-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
5bec1cb3-e71a-496e-9b98-10de0e3975f9,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-15T15:49:59-07:00,2026-08-15T15:50:09-07:00,animal,animal,,,,,,,Animal,Animal,2,,,,,FALSE
76135a1d-4e72-471b-b25b-833534aa915d,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-15T15:52:44-07:00,2026-08-15T15:52:54-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
8c5fd700-f96c-4ba9-83f5-25fcfe432380,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-15T16:47:41-07:00,2026-08-15T16:47:52-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
29ee5915-d1ae-4fb2-a286-5a825b75c9f0,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-15T17:57:31-07:00,2026-08-15T17:57:42-07:00,animal,animal,,,,,,,Animal,Animal,2,,,,,FALSE
50e4c4c0-643b-45a2-a7ef-6d1ebdbda2b5,25446dba-7e72-4966-852e-135bc43ca60b,2026-08-15T18:58:06-07:00,2026-08-15T19:00:00-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
f08bdcdb-42d7-4f4c-b289-93746054e49c,a8cfa427-9576-4cd9-b538-89c137818f42,2026-08-15T19:02:12-07:00,2026-08-15T19:02:23-07:00,animal,animal,,,,,,,Animal,Animal,1,,,,,FALSE
